ime,rang,godina_merenja,kompanija,godine,pol,lokacija
Bill Gates,1,2014,Microsoft,58,male,North America
Warren Buffett,2,1996,Berkshire Hathaway,65,male,North America
Warren Buffett,2,2001,Berkshire Hathaway,70,male,North America
Carlos Slim Helu,2,2014,Telmex,74,male,Latin America
Oeri Hoffman and Sacher,3,1996,F. Hoffmann-La Roche,0,,Europe
Paul Allen,3,2001,Microsoft,48,male,North America
Helen Walton,10,2001,Walmart,81,female,North America
Francois Pinault,58,2014,PPR,77,male,Europe
Iris Fontbona,58,2014,Antofagasta PLC,71,female,Latin America
Amancio Ortega,3,2014,Zara,77,male,Europe
John Mars,31,2001,Mars Incorporated,64,male,North America
